alpha_g,alpha_l,rho_wood,c_wood_mm_per_microsecond
9.5491502812526273e-04,9.9904508497187472e-01,1.3672606741003638e+03,3.1990466393100259e-01
9.6416788376799849e-04,9.9903583211623204e-01,1.3672480218525291e+03,3.1845841931583896e-01
9.7346057144439061e-04,9.9902653942855557e-01,1.3672353151388318e+03,3.1702553946981576e-01
9.8279299943936191e-04,9.9901720700056063e-01,1.3672225540846828e+03,3.1560584968647420e-01
9.9216507564561687e-04,9.9900783492435441e-01,1.3672097388160275e+03,3.1419917818207915e-01
1.0015767075645470e-03,9.9899842329243549e-01,1.3671968694593486e+03,3.1280535603753062e-01
1.0110278023071450e-03,9.9898897219769289e-01,1.3671839461416605e+03,3.1142421714157253e-01
1.0205182665949208e-03,9.9897948173340512e-01,1.3671709689905115e+03,3.1005559813526778e-01
1.0300480067608237e-03,9.9896995199323912e-01,1.3671579381339807e+03,3.0869933835771052e-01
1.0396169287501650e-03,9.9896038307124979e-01,1.3671448537006777e+03,3.0735527979294608e-01
1.0492249381215480e-03,9.9895077506187846e-01,1.3671317158197403e+03,3.0602326701806887e-01
1.0588719400477997e-03,9.9894112805995217e-01,1.3671185246208340e+03,3.0470314715247199e-01
1.0685578393169054e-03,9.9893144216068308e-01,1.3671052802341512e+03,3.0339476980821978e-01
1.0782825403329499e-03,9.9892171745966707e-01,1.3670919827904079e+03,3.0209798704151763e-01
1.0880459471170594e-03,9.9891195405288291e-01,1.3670786324208450e+03,3.0081265330525159e-01
1.0978479633083509e-03,9.9890215203669164e-01,1.3670652292572247e+03,2.9953862540257431e-01
1.1076884921648828e-03,9.9889231150783508e-01,1.3670517734318314e+03,2.9827576244151083e-01
1.1175674365646070e-03,9.9888243256343534e-01,1.3670382650774686e+03,2.9702392579056103e-01
1.1274846990063309e-03,9.9887251530099364e-01,1.3670247043274580e+03,2.9578297903527379e-01
1.1374401816106776e-03,9.9886255981838934e-01,1.3670110913156391e+03,2.9455278793577194e-01
1.1474337861210537e-03,9.9885256621387897e-01,1.3669974261763666e+03,2.9333322038520276e-01
1.1574654139046171e-03,9.9884253458609540e-01,1.3669837090445096e+03,2.9212414636909440e-01
1.1675349659532508e-03,9.9883246503404677e-01,1.3669699400554514e+03,2.9092543792559522e-01
1.1776423428845424e-03,9.9882235765711547e-01,1.3669561193450854e+03,2.8973696910657637e-01
1.1877874449427606e-03,9.9881221255505725e-01,1.3669422470498173e+03,2.8855861593957566e-01
1.1979701719998454e-03,9.9880202982800015e-01,1.3669283233065607e+03,2.8739025639056404e-01
1.2081904235563907e-03,9.9879180957644365e-01,1.3669143482527377e+03,2.8623177032751546e-01
1.2184480987426406e-03,9.9878155190125739e-01,1.3669003220262757e+03,2.8508303948475927e-01
1.2287430963194813e-03,9.9877125690368052e-01,1.3668862447656084e+03,2.8394394742809936e-01
1.2390753146794425e-03,9.9876092468532052e-01,1.3668721166096723e+03,2.8281437952067984e-01
1.2494446518477021e-03,9.9875055534815227e-01,1.3668579376979071e+03,2.8169422288957985e-01
1.2598510054830875e-03,9.9874014899451691e-01,1.3668437081702527e+03,2.8058336639312281e-01
1.2702942728790895e-03,9.9872970572712094e-01,1.3668294281671488e+03,2.7948170058887933e-01
1.2807743509648745e-03,9.9871922564903515e-01,1.3668150978295332e+03,2.7838911770235131e-01
1.2912911363063041e-03,9.9870870886369367e-01,1.3668007172988405e+03,2.7730551159631828e-01
1.3018445251069515e-03,9.9869815547489305e-01,1.3667862867170011e+03,2.7623077774083310e-01
1.3124344132091305e-03,9.9868756558679084e-01,1.3667718062264385e+03,2.7516481318384928e-01
1.3230606960949209e-03,9.9867693930390511e-01,1.3667572759700697e+03,2.7410751652246751e-01
1.3337232688871998e-03,9.9866627673111275e-01,1.3667426960913022e+03,2.7305878787478555e-01
1.3444220263506795e-03,9.9865557797364934e-01,1.3667280667340337e+03,2.7201852885233724e-01
1.3551568628929424e-03,9.9864484313710711e-01,1.3667133880426502e+03,2.7098664253310861e-01
1.3659276725654856e-03,9.9863407232743451e-01,1.3666986601620238e+03,2.6996303343511596e-01
1.3767343490647666e-03,9.9862326565093529e-01,1.3666838832375133e+03,2.6894760749053337e-01
1.3875767857332510e-03,9.9861242321426680e-01,1.3666690574149609e+03,2.6794027202035758e-01
1.3984548755604654e-03,9.9860154512443955e-01,1.3666541828406916e+03,2.6694093570959748e-01
1.4093685111840554e-03,9.9859063148881599e-01,1.3666392596615110e+03,2.6594950858297528e-01
1.4203175848908440e-03,9.9857968241510919e-01,1.3666242880247053e+03,2.6496590198112924e-01
1.4313019886178936e-03,9.9856869801138215e-01,1.3666092680780382e+03,2.6399002853730474e-01
1.4423216139535734e-03,9.9855767838604648e-01,1.3665941999697509e+03,2.6302180215452398e-01
1.4533763521386300e-03,9.9854662364786140e-01,1.3665790838485591e+03,2.6206113798322228e-01
1.4644660940672622e-03,9.9853553390593275e-01,1.3665639198636532e+03,2.6110795239934048e-01
1.4755907302881933e-03,9.9852440926971175e-01,1.3665487081646950e+03,2.6016216298286404e-01
1.4867501510057541e-03,9.9851324984899426e-01,1.3665334489018187e+03,2.5922368849679728e-01
1.4979442460809683e-03,9.9850205575391904e-01,1.3665181422256262e+03,2.5829244886656338e-01
1.5091729050326363e-03,9.9849082709496739e-01,1.3665027882871891e+03,2.5736836515982153e-01
1.5204360170384284e-03,9.9847956398296156e-01,1.3664873872380440e+03,2.5645135956668946e-01
1.5317334709359753e-03,9.9846826652906406e-01,1.3664719392301929e+03,2.5554135538036532e-01
1.5430651552239677e-03,9.9845693484477605e-01,1.3664564444161017e+03,2.5463827697813651e-01
1.5544309580632577e-03,9.9844556904193671e-01,1.3664409029486978e+03,2.5374204980276954e-01
1.5658307672779587e-03,9.9843416923272199e-01,1.3664253149813694e+03,2.5285260034427104e-01
1.5772644703565570e-03,9.9842273552964345e-01,1.3664096806679636e+03,2.5196985612201145e-01
1.5887319544530183e-03,9.9841126804554703e-01,1.3663940001627843e+03,2.5109374566720427e-01
1.6002331063879039e-03,9.9839976689361210e-01,1.3663782736205919e+03,2.5022419850573202e-01
1.6117678126494890e-03,9.9838823218735051e-01,1.3663625011966010e+03,2.4936114514131094e-01
1.6233359593948783e-03,9.9837666404060510e-01,1.3663466830464793e+03,2.4850451703898890e-01
1.6349374324511334e-03,9.9836506256754887e-01,1.3663308193263454e+03,2.4765424660896596e-01
1.6465721173164001e-03,9.9835342788268355e-01,1.3663149101927679e+03,2.4681026719073360e-01
1.6582398991610348e-03,9.9834176010083897e-01,1.3662989558027634e+03,2.4597251303752338e-01
