alpha_g,alpha_l,rho_wood,c_wood
1.4867501510057540e-01,8.5132498489942465e-01,1.1652699170355545e+03,2.8631158573247745e+01
1.4979442460809683e-01,8.5020557539190311e-01,1.1637392494163280e+03,2.8542774037717138e+01
1.5091729050326363e-01,8.4908270949673637e-01,1.1622038555725940e+03,2.8455213017142437e+01
1.5204360170384285e-01,8.4795639829615710e-01,1.1606637506580701e+03,2.8368466240944468e+01
1.5317334709359753e-01,8.4682665290640247e-01,1.1591189498729696e+03,2.8282524585994164e+01
1.5430651552239677e-01,8.4569348447760317e-01,1.1575694684638531e+03,2.8197379073763663e+01
1.5544309580632576e-01,8.4455690419367424e-01,1.1560153217234761e+03,2.8113020867543813e+01
1.5658307672779587e-01,8.4341692327220419e-01,1.1544565249906400e+03,2.8029441269726131e+01
1.5772644703565569e-01,8.4227355296434436e-01,1.1528930936500385e+03,2.7946631719147586e+01
1.5887319544530182e-01,8.4112680455469824e-01,1.1513250431321085e+03,2.7864583788496468e+01
1.6002331063879038e-01,8.3997668936120962e-01,1.1497523889128752e+03,2.7783289181777761e+01
1.6117678126494889e-01,8.3882321873505106e-01,1.1481751465138009e+03,2.7702739731836378e+01
1.6233359593948782e-01,8.3766640406051218e-01,1.1465933315016314e+03,2.7622927397936817e+01
1.6349374324511334e-01,8.3650625675488666e-01,1.1450069594882418e+03,2.7543844263397652e+01
1.6465721173164000e-01,8.3534278826835995e-01,1.1434160461304841e+03,2.7465482533279467e+01
1.6582398991610348e-01,8.3417601008389652e-01,1.1418206071300308e+03,2.7387834532124895e+01
1.6699406628287422e-01,8.3300593371712583e-01,1.1402206582332201e+03,2.7310892701749250e+01
1.6816742928377076e-01,8.3183257071622929e-01,1.1386162152309025e+03,2.7234649599080605e+01
1.6934406733817409e-01,8.3065593266182591e-01,1.1370072939582819e+03,2.7159097894047957e+01
1.7052396883314153e-01,8.2947603116685853e-01,1.1353939102947625e+03,2.7084230367516192e+01
1.7170712212352179e-01,8.2829287787647821e-01,1.1337760801637887e+03,2.7010039909266762e+01
1.7289351553206950e-01,8.2710648446793056e-01,1.1321538195326918e+03,2.6936519516022841e+01
1.7408313734956066e-01,8.2591686265043940e-01,1.1305271444125287e+03,2.6863662289517805e+01
1.7527597583490823e-01,8.2472402416509172e-01,1.1288960708579261e+03,2.6791461434605971e+01
1.7647201921527783e-01,8.2352798078472222e-01,1.1272606149669220e+03,2.6719910257414544e+01
1.7767125568620434e-01,8.2232874431379566e-01,1.1256207928808053e+03,2.6649002163535666e+01
1.7887367341170785e-01,8.2112632658829221e-01,1.1239766207839584e+03,2.6578730656257662e+01
1.8007926052441081e-01,8.1992073947558919e-01,1.1223281149036955e+03,2.6509089334834382e+01
1.8128800512565518e-01,8.1871199487434487e-01,1.1206752915101044e+03,2.6440071892791760e+01
1.8249989528561966e-01,8.1750010471438039e-01,1.1190181669158849e+03,2.6371672116270723e+01
1.8371491904343779e-01,8.1628508095656227e-01,1.1173567574761876e+03,2.6303883882405362e+01
1.8493306440731550e-01,8.1506693559268450e-01,1.1156910795884528e+03,2.6236701157735745e+01
1.8615431935464982e-01,8.1384568064535023e-01,1.1140211496922489e+03,2.6170117996654305e+01
1.8737867183214740e-01,8.1262132816785260e-01,1.1123469842691100e+03,2.6104128539885092e+01
1.8860610975594377e-01,8.1139389024405628e-01,1.1106685998423727e+03,2.6038727012995061e+01
1.8983662101172200e-01,8.1016337898827806e-01,1.1089860129770138e+03,2.5973907724936659e+01
1.9107019345483289e-01,8.0892980654516711e-01,1.1072992402794862e+03,2.5909665066620835e+01
