timestep,min_pres,x,y,z
255,-149203.0,0.299063,0.284062,
256,-142449.0,0.291563,0.291562,
257,-137915.0,0.282188,0.297187,
258,-126927.0,0.272813,0.304687,
259,-120230.0,0.263438,0.312187,
260,-108614.0,0.250313,0.312187,
261,-109524.0,0.239063,0.317812,
262,-107187.0,0.229688,0.323437,
263,-109179.0,0.220313,0.329062,
264,-107822.0,0.210938,0.334688,
265,-112426.0,0.197813,0.332812,
266,-117432.0,0.186563,0.336562,
267,-119099.0,0.177188,0.344063,
268,-118523.0,0.167813,0.344063,
269,-119246.0,0.154688,0.338438,
270,-137043.0,0.143438,0.340313,
271,-143244.0,0.132188,0.345938,
272,-143642.0,0.122813,0.353438,
273,-150746.0,0.109688,0.347813,
274,-156836.0,0.0984375,0.349688,
275,-164582.0,0.0871875,0.349688,
276,-165720.0,0.0759375,0.351563,
277,-166352.0,0.0646875,0.351563,
278,-175968.0,0.0534375,0.353438,
279,-181519.0,0.0421875,0.353438,
280,-179991.0,0.0309375,0.351563,
281,-184465.0,0.0196875,0.345938,
282,-187133.0,0.0084375,0.347813,
283,-187820.0,-0.0028125,0.344063,
284,-191501.0,-0.0140625,0.338438,
285,-183976.0,-0.0253125,0.336562,
286,-185759.0,-0.0346875,0.327187,
287,-193237.0,-0.0440625,0.323437,
288,-193752.0,-0.0553125,0.319687,
289,-201832.0,-0.0665625,0.315937,
290,-206830.0,-0.0759375,0.308437,
291,-209429.0,-0.0853125,0.300937,
292,-213473.0,-0.0946875,0.295312,
293,-211497.0,-0.105937,0.289687,
294,-215676.0,-0.115312,0.282187,
295,-210910.0,-0.120937,0.270937,
296,-209695.0,-0.126562,0.261562,
297,-224676.0,-0.137812,0.254062,
298,-239493.0,-0.143437,0.244687,
299,-240530.0,-0.150937,0.235312,
300,-245795.0,-0.156562,0.225937,
301,-262455.0,-0.164062,0.216562,
302,-278741.0,-0.169687,0.207187,
303,-293573.0,-0.175312,0.197812,
304,-312941.0,-0.179062,0.184687,
305,-332430.0,-0.182812,0.175312,
306,-356341.0,-0.186562,0.164062,
307,-388114.0,-0.190312,0.152812,
308,-428531.0,-0.192187,0.139688,
309,-462761.0,-0.194062,0.128438,
310,-510387.0,-0.194062,0.117188,
311,-561281.0,-0.194062,0.104063,
312,-627952.0,-0.194062,0.0928125,
313,-701777.0,-0.192187,0.0796875,
314,-790563.0,-0.190312,0.0684375,
315,-905482.0,-0.186562,0.0553125,
316,-1047710.0,-0.182812,0.0440625,
317,-1246600.0,-0.177187,0.0309375,
318,-1547700.0,-0.173437,0.0178125,
319,-2443780.0,-0.167812,0.0009375,
320,-2607680.0,-0.143437,0.0009375,
321,-1978050.0,-0.124687,0.0009375,
322,-1493320.0,-0.109687,0.0009375,
323,-1263190.0,-0.274687,0.0009375,
324,-1104520.0,-0.293437,0.0009375,
325,-903603.0,-0.310312,0.0009375,
326,-759083.0,-0.327187,0.0009375,
327,-654535.0,-0.342187,0.0009375,
328,-577920.0,-0.357187,0.0009375,
329,-496239.0,-0.370312,0.0009375,
330,-374521.0,-0.385312,0.0009375,
331,-276471.0,-0.398437,0.0009375,
332,-190348.0,-0.413437,0.0009375,
333,-133704.0,-0.424687,0.0009375,
334,-59835.1,-0.437812,0.0009375,
335,40070.1,-0.450937,0.0009375,
336,101260.0,0.826699,0.0009375,
337,101261.0,0.826699,0.0009375,
